Shelf Id,Event Id,Timestamp, 
8s,1332,2017-12-25 03:01:11,
29s,1334,2017-12-25 03:02:11,
16s,1351,2017-12-25 03:16:11,
22s,1370,2017-12-25 03:31:11,
30s,1393,2017-12-25 03:46:11,
13s,1394,2017-12-25 03:46:11,
31s,1415,2017-12-25 03:58:11,
18s,1449,2017-12-25 04:20:11,
37s,1473,2017-12-25 04:35:11,
35s,1512,2017-12-25 05:04:11,
11s,1517,2017-12-25 05:07:11,
7s,1522,2017-12-25 05:09:11,
25s,1538,2017-12-25 05:21:11,
26s,1557,2017-12-25 05:35:11,
16s,1563,2017-12-25 05:39:11,
0s,1565,2017-12-25 05:39:11,
14s,1610,2017-12-25 06:20:11,
9s,1613,2017-12-25 06:24:11,
4s,1621,2017-12-25 06:39:11,
3s,1654,2017-12-25 07:05:11,
29s,1655,2017-12-25 07:09:11,
11s,1668,2017-12-25 07:26:11,
0s,1713,2017-12-25 08:03:11,
1s,1715,2017-12-25 08:05:11,
18s,1749,2017-12-25 08:32:11,
22s,1751,2017-12-25 08:34:11,
16s,1752,2017-12-25 08:34:11,
38s,1771,2017-12-25 08:48:11,
15s,1781,2017-12-25 09:00:11,
35s,1789,2017-12-25 09:04:11,
5s,1827,2017-12-25 09:48:11,
36s,1863,2017-12-25 10:28:11,
13s,1873,2017-12-25 10:41:11,
34s,1879,2017-12-25 10:47:11,
21s,1881,2017-12-25 10:47:11,
3s,1913,2017-12-25 11:10:11,
14s,1922,2017-12-25 11:23:11,
20s,1951,2017-12-25 11:57:11,
38s,1970,2017-12-25 12:16:11,
35s,1977,2017-12-25 12:20:11,
25s,2037,2017-12-25 13:21:11,
0s,2042,2017-12-25 13:25:11,
5s,2055,2017-12-25 13:36:11,
28s,2085,2017-12-25 14:13:11,
35s,2118,2017-12-25 15:21:11,
17s,2129,2017-12-25 15:27:11,
32s,2146,2017-12-25 16:03:11,
13s,2196,2017-12-25 16:58:11,
2s,2235,2017-12-25 17:40:11,
10s,2257,2017-12-25 18:10:11,
19s,2269,2017-12-25 18:25:11,
22s,2293,2017-12-25 19:00:11,
20s,2321,2017-12-25 19:43:11,
22s,2342,2017-12-25 20:08:11,
6s,2355,2017-12-25 20:25:11,
4s,2392,2017-12-25 21:03:11,
15s,2452,2017-12-25 22:45:11,
37s,2453,2017-12-25 22:46:11,
24s,2479,2017-12-25 23:11:11,
28s,2501,2017-12-25 23:46:11,
25s,2530,2017-12-26 00:23:11,
6s,2531,2017-12-26 00:27:11,
14s,2545,2017-12-26 00:50:11,
19s,2563,2017-12-26 01:06:11,
9s,2585,2017-12-26 01:49:11,
27s,2604,2017-12-26 02:14:11,
3s,2625,2017-12-26 02:44:11,
37s,2650,2017-12-26 03:24:11,
0s,2657,2017-12-26 03:37:11,
30s,2692,2017-12-26 04:30:11,
39s,2705,2017-12-26 04:47:11,
19s,2714,2017-12-26 04:59:11,
12s,2789,2017-12-26 07:13:11,
6s,2791,2017-12-26 07:18:11,
29s,2816,2017-12-26 07:55:11,
34s,2846,2017-12-26 09:14:11,
