Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
181CP,2017-12-25 02:29:11,2017-12-25 02:41:11,Request product,process activity,clerk,1c,product,181p,1311
181CP,2017-12-25 02:42:11,2017-12-25 02:42:11,Assgin robot,process activity,robot,22r,shelf,8s,1315
379CP,2017-12-25 02:34:11,2017-12-25 02:51:11,Request product,process activity,clerk,1c,product,379p,1313
379CP,2017-12-25 02:52:11,2017-12-25 02:52:11,Assgin robot,process activity,robot,10r,shelf,29s,1321
419CP,2017-12-25 02:30:11,2017-12-25 02:55:11,Request product,process activity,clerk,1c,product,419p,1312
419CP,2017-12-25 02:55:11,2017-12-25 02:55:11,Assgin robot,process activity,robot,19r,shelf,27s,1324
605CP,2017-12-25 02:38:11,2017-12-25 02:59:11,Request product,process activity,clerk,1c,product,605p,1314
605CP,2017-12-25 02:59:11,2017-12-25 02:59:11,Assgin robot,process activity,robot,2r,shelf,16s,1328
272CP,2017-12-25 02:50:11,2017-12-25 03:04:11,Request product,process activity,clerk,1c,product,272p,1320
272CP,2017-12-25 03:05:11,2017-12-25 03:05:11,Assgin robot,process activity,robot,13r,shelf,8s,1336
666CP,2017-12-25 02:42:11,2017-12-25 03:07:11,Request product,process activity,clerk,1c,product,666p,1316
666CP,2017-12-25 03:08:11,2017-12-25 03:08:11,Assgin robot,process activity,robot,16r,shelf,13s,1338
54CP,2017-12-25 02:47:11,2017-12-25 03:12:11,Request product,process activity,clerk,1c,product,54p,1319
54CP,2017-12-25 03:13:11,2017-12-25 03:13:11,Assgin robot,process activity,robot,3r,shelf,22s,1346
208CP,2017-12-25 03:10:11,2017-12-25 03:15:11,Request product,process activity,clerk,1c,product,208p,1342
208CP,2017-12-25 03:16:11,2017-12-25 03:16:11,Assgin robot,process activity,robot,12r,shelf,30s,1349
419CP,2017-12-25 03:22:11,2017-12-25 03:22:11,check if the product was shaked,process activity,clerk,1c,product,419p,1357
542CP,2017-12-25 03:02:11,2017-12-25 03:29:11,Request product,process activity,clerk,1c,product,542p,1333
542CP,2017-12-25 03:29:11,2017-12-25 03:29:11,Assgin robot,process activity,robot,21r,shelf,31s,1366
160CP,2017-12-25 03:23:11,2017-12-25 03:41:11,Request product,process activity,clerk,1c,product,160p,1361
160CP,2017-12-25 03:42:11,2017-12-25 03:42:11,Assgin robot,process activity,robot,1r,shelf,18s,1385
419CP,2017-12-25 03:46:11,2017-12-25 03:46:11,Product Delivered,process activity,clerk,1c,product,419p,1391
181CP,2017-12-25 03:49:11,2017-12-25 03:49:11,check if the product was shaked,process activity,clerk,1c,product,181p,1398
243CP,2017-12-25 03:38:11,2017-12-25 03:49:11,Request product,process activity,clerk,1c,product,243p,1380
243CP,2017-12-25 03:54:11,2017-12-25 03:54:11,Assgin robot,process activity,robot,20r,shelf,37s,1405
213CP,2017-12-25 03:34:11,2017-12-25 03:57:11,Request product,process activity,clerk,1c,product,213p,1373
213CP,2017-12-25 03:57:11,2017-12-25 03:57:11,Assgin robot,process activity,robot,4r,shelf,36s,1412
181CP,2017-12-25 04:07:11,2017-12-25 04:07:11,Product Delivered,process activity,clerk,1c,product,181p,1429
379CP,2017-12-25 04:11:11,2017-12-25 04:11:11,check if the product was shaked,process activity,clerk,1c,product,379p,1434
456CP,2017-12-25 04:01:11,2017-12-25 04:13:11,Request product,process activity,clerk,1c,product,456p,1419
456CP,2017-12-25 04:14:11,2017-12-25 04:14:11,Assgin robot,process activity,robot,11r,shelf,11s,1438
490CP,2017-12-25 03:48:11,2017-12-25 04:15:11,Request product,process activity,clerk,1c,product,490p,1396
490CP,2017-12-25 04:16:11,2017-12-25 04:16:11,Assgin robot,process activity,robot,7r,shelf,7s,1441
647CP,2017-12-25 03:53:11,2017-12-25 04:19:11,Request product,process activity,clerk,1c,product,647p,1403
647CP,2017-12-25 04:19:11,2017-12-25 04:19:11,Assgin robot,process activity,robot,8r,shelf,38s,1446
379CP,2017-12-25 04:24:11,2017-12-25 04:24:11,Product Delivered,process activity,clerk,1c,product,379p,1453
605CP,2017-12-25 04:24:11,2017-12-25 04:24:11,check if the product was shaked,process activity,clerk,1c,product,605p,1454
599CP,2017-12-25 04:08:11,2017-12-25 04:24:11,Request product,process activity,clerk,1c,product,599p,1431
599CP,2017-12-25 04:25:11,2017-12-25 04:25:11,Assgin robot,process activity,robot,6r,shelf,35s,1455
248CP,2017-12-25 03:56:11,2017-12-25 04:25:11,Request product,process activity,clerk,1c,product,248p,1409
248CP,2017-12-25 04:25:11,2017-12-25 04:25:11,Assgin robot,process activity,robot,23r,shelf,11s,1456
338CP,2017-12-25 04:08:11,2017-12-25 04:34:11,Request product,process activity,clerk,1c,product,338p,1430
338CP,2017-12-25 04:34:11,2017-12-25 04:34:11,Assgin robot,process activity,robot,22r,shelf,25s,1470
109CP,2017-12-25 04:16:11,2017-12-25 04:35:11,Request product,process activity,clerk,1c,product,109p,1442
109CP,2017-12-25 04:37:11,2017-12-25 04:37:11,Assgin robot,process activity,robot,19r,shelf,15s,1476
693CP,2017-12-25 04:36:11,2017-12-25 04:54:11,Request product,process activity,clerk,1c,product,693p,1474
693CP,2017-12-25 04:55:11,2017-12-25 04:55:11,Assgin robot,process activity,robot,17r,shelf,0s,1497
527CP,2017-12-25 04:30:11,2017-12-25 05:00:11,Request product,process activity,clerk,1c,product,527p,1461
527CP,2017-12-25 05:00:11,2017-12-25 05:00:11,Assgin robot,process activity,robot,10r,shelf,16s,1505
605CP,2017-12-25 05:03:11,2017-12-25 05:03:11,Product Delivered,process activity,clerk,1c,product,605p,1510
208CP,2017-12-25 05:06:11,2017-12-25 05:06:11,check if the product was shaked,process activity,clerk,1c,product,208p,1514
385CP,2017-12-25 04:47:11,2017-12-25 05:07:11,Request product,process activity,clerk,1c,product,385p,1488
385CP,2017-12-25 05:07:11,2017-12-25 05:07:11,Assgin robot,process activity,robot,14r,shelf,26s,1516
582CP,2017-12-25 05:07:11,2017-12-25 05:21:11,Request product,process activity,clerk,1c,product,582p,1515
582CP,2017-12-25 05:21:11,2017-12-25 05:21:11,Assgin robot,process activity,robot,2r,shelf,10s,1537
208CP,2017-12-25 05:38:11,2017-12-25 05:38:11,Product Delivered,process activity,clerk,1c,product,208p,1561
54CP,2017-12-25 05:39:11,2017-12-25 05:39:11,check if the product was shaked,process activity,clerk,1c,product,54p,1562
568CP,2017-12-25 05:23:11,2017-12-25 05:46:11,Request product,process activity,clerk,1c,product,568p,1542
568CP,2017-12-25 05:47:11,2017-12-25 05:47:11,Assgin robot,process activity,robot,15r,shelf,14s,1573
54CP,2017-12-25 05:59:11,2017-12-25 05:59:11,Product Delivered,process activity,clerk,1c,product,54p,1589
666CP,2017-12-25 05:59:11,2017-12-25 05:59:11,check if the product was shaked,process activity,clerk,1c,product,666p,1590
692CP,2017-12-25 05:46:11,2017-12-25 06:06:11,Request product,process activity,clerk,1c,product,692p,1571
692CP,2017-12-25 06:06:11,2017-12-25 06:06:11,Assgin robot,process activity,robot,5r,shelf,4s,1598
471CP,2017-12-25 05:42:11,2017-12-25 06:06:11,Request product,process activity,clerk,1c,product,471p,1568
