Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 03:15:21,673p,1333
packageDone,2017-12-25 03:26:21,673p,1342
collector,2017-12-25 03:40:21,623p,1366
collector,2017-12-25 03:42:21,765p,1368
collector,2017-12-25 03:54:21,115p,1378
packageDone,2017-12-25 03:59:21,623p,1388
collector,2017-12-25 04:18:21,631p,1415
collector,2017-12-25 04:21:21,756p,1422
packageDone,2017-12-25 04:21:21,765p,1404
collector,2017-12-25 04:33:21,460p,1440
collector,2017-12-25 04:33:21,124p,1448
collector,2017-12-25 04:33:21,699p,1445
extraCheck,2017-12-25 04:38:21,115p,1444
collector,2017-12-25 04:47:21,152p,1464
packageDone,2017-12-25 04:52:21,115p,1461
collector,2017-12-25 04:57:21,622p,1469
collector,2017-12-25 05:16:21,200p,1474
collector,2017-12-25 05:20:21,28p,1491
extraCheck,2017-12-25 05:22:21,460p,1490
packageDone,2017-12-25 05:40:21,460p,1503
extraCheck,2017-12-25 05:44:21,124p,1525
collector,2017-12-25 05:45:21,677p,1524
collector,2017-12-25 05:51:21,618p,1536
collector,2017-12-25 05:58:21,18p,1544
packageDone,2017-12-25 06:01:21,124p,1528
collector,2017-12-25 06:07:21,468p,1557
collector,2017-12-25 06:12:21,91p,1562
extraCheck,2017-12-25 06:12:21,756p,1555
packageDone,2017-12-25 06:30:21,756p,1572
collector,2017-12-25 06:39:21,769p,1593
packageDone,2017-12-25 06:47:21,631p,1589
collector,2017-12-25 06:49:21,334p,1604
collector,2017-12-25 06:59:21,607p,1619
collector,2017-12-25 07:01:21,66p,1620
extraCheck,2017-12-25 07:04:21,468p,1613
collector,2017-12-25 07:06:21,588p,1624
packageDone,2017-12-25 07:19:21,468p,1631
extraCheck,2017-12-25 07:29:21,699p,1643
collector,2017-12-25 07:36:21,105p,1650
packageDone,2017-12-25 07:39:21,699p,1648
collector,2017-12-25 07:49:21,707p,1666
extraCheck,2017-12-25 07:50:21,152p,1660
packageDone,2017-12-25 08:03:21,152p,1673
extraCheck,2017-12-25 08:11:21,622p,1688
collector,2017-12-25 08:14:21,447p,1695
collector,2017-12-25 08:19:21,605p,1701
collector,2017-12-25 08:23:21,641p,1706
