Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
60RP,2017-12-25 01:11:50,2017-12-25 01:18:50,putdown current shelf,process activity,robot,4r,shelf,-1s,1315
1RP,2017-12-25 01:19:50,2017-12-25 01:23:50,putdown current shelf,process activity,robot,5r,shelf,-1s,1319
0RP,2017-12-25 01:25:50,2017-12-25 01:29:50,putdown current shelf,process activity,robot,3r,shelf,-1s,1323
60RP,2017-12-25 01:18:50,2017-12-25 01:31:50,go to approriate shelf,process activity,robot,4r,shelf,1s,1318
0RP,2017-12-25 01:29:50,2017-12-25 01:33:50,go to approriate shelf,process activity,robot,3r,shelf,4s,1325
60RP,2017-12-25 01:32:50,2017-12-25 01:34:50,move shelf to dock,process activity,robot,4r,shelf,1s,1328
1RP,2017-12-25 01:24:50,2017-12-25 01:38:50,go to approriate shelf,process activity,robot,5r,shelf,2s,1320
0RP,2017-12-25 01:35:50,2017-12-25 01:42:50,move shelf to dock,process activity,robot,3r,shelf,4s,1331
50RP,2017-12-25 01:40:50,2017-12-25 01:44:50,putdown current shelf,process activity,robot,8r,shelf,-1s,1337
50RP,2017-12-25 01:45:50,2017-12-25 01:47:50,go to approriate shelf,process activity,robot,8r,shelf,1s,1343
50RP,2017-12-25 01:41:50,2017-12-25 01:50:50,move shelf from dock,process activity,robot,4r,shelf,1s,1340
0RP,2017-12-25 01:49:50,2017-12-25 01:53:50,move shelf from dock,process activity,robot,3r,shelf,4s,1352
1RP,2017-12-25 01:54:50,2017-12-25 02:07:50,reduce speed,process activity,robot,5r,shelf,2s,1354
1RP,2017-12-25 01:40:50,2017-12-25 02:07:50,move shelf to dock,process activity,robot,5r,shelf,2s,1336
37RP,2017-12-25 02:04:50,2017-12-25 02:10:50,putdown current shelf,process activity,robot,1r,shelf,-1s,1363
50RP,2017-12-25 02:03:50,2017-12-25 02:14:50,reduce speed,process activity,robot,8r,shelf,1s,1362
50RP,2017-12-25 01:49:50,2017-12-25 02:14:50,move shelf to dock,process activity,robot,8r,shelf,1s,1351
1RP,2017-12-25 02:16:50,2017-12-25 02:19:50,move shelf from dock,process activity,robot,5r,shelf,2s,1375
19RP,2017-12-25 02:15:50,2017-12-25 02:21:50,putdown current shelf,process activity,robot,7r,shelf,-1s,1372
50RP,2017-12-25 02:20:50,2017-12-25 02:23:50,move shelf from dock,process activity,robot,8r,shelf,1s,1380
69RP,2017-12-25 02:21:50,2017-12-25 02:23:50,putdown current shelf,process activity,robot,2r,shelf,-1s,1382
37RP,2017-12-25 02:11:50,2017-12-25 02:25:50,go to approriate shelf,process activity,robot,1r,shelf,3s,1368
37RP,2017-12-25 02:27:50,2017-12-25 02:31:50,move shelf to dock,process activity,robot,1r,shelf,3s,1387
19RP,2017-12-25 02:21:50,2017-12-25 02:35:50,go to approriate shelf,process activity,robot,7r,shelf,2s,1383
69RP,2017-12-25 02:23:50,2017-12-25 02:37:50,go to approriate shelf,process activity,robot,2r,shelf,0s,1385
98RP,2017-12-25 02:34:50,2017-12-25 02:39:50,putdown current shelf,process activity,robot,0r,shelf,-1s,1393
37RP,2017-12-25 02:39:50,2017-12-25 02:52:50,move shelf from dock,process activity,robot,1r,shelf,3s,1401
98RP,2017-12-25 02:40:50,2017-12-25 02:53:50,go to approriate shelf,process activity,robot,0r,shelf,1s,1402
57RP,2017-12-25 02:55:50,2017-12-25 02:57:50,putdown current shelf,process activity,robot,3r,shelf,4s,1414
69RP,2017-12-25 02:42:50,2017-12-25 02:57:50,reduce speed,process activity,robot,2r,shelf,0s,1406
69RP,2017-12-25 02:39:50,2017-12-25 02:57:50,move shelf to dock,process activity,robot,2r,shelf,0s,1400
98RP,2017-12-25 02:55:50,2017-12-25 02:59:50,move shelf to dock,process activity,robot,0r,shelf,1s,1413
57RP,2017-12-25 02:57:50,2017-12-25 03:02:50,go to approriate shelf,process activity,robot,3r,shelf,3s,1418
19RP,2017-12-25 02:50:50,2017-12-25 03:07:50,reduce speed,process activity,robot,7r,shelf,2s,1410
19RP,2017-12-25 02:37:50,2017-12-25 03:07:50,move shelf to dock,process activity,robot,7r,shelf,2s,1397
94RP,2017-12-25 03:08:50,2017-12-25 03:11:50,putdown current shelf,process activity,robot,5r,shelf,2s,1432
98RP,2017-12-25 03:06:50,2017-12-25 03:14:50,move shelf from dock,process activity,robot,0r,shelf,1s,1429
70RP,2017-12-25 03:15:50,2017-12-25 03:17:50,reduce speed,process activity,robot,4r,shelf,1s,1445
70RP,2017-12-25 03:12:50,2017-12-25 03:17:50,move shelf to dock,process activity,robot,4r,shelf,1s,1440
69RP,2017-12-25 03:06:50,2017-12-25 03:20:50,move shelf from dock,process activity,robot,2r,shelf,0s,1428
94RP,2017-12-25 03:12:50,2017-12-25 03:20:50,go to approriate shelf,process activity,robot,5r,shelf,0s,1439
19RP,2017-12-25 03:15:50,2017-12-25 03:25:50,move shelf from dock,process activity,robot,7r,shelf,2s,1444
70RP,2017-12-25 03:23:50,2017-12-25 03:32:50,move shelf from dock,process activity,robot,4r,shelf,1s,1454
57RP,2017-12-25 03:19:50,2017-12-25 03:33:50,reduce speed,process activity,robot,3r,shelf,3s,1448
57RP,2017-12-25 03:05:50,2017-12-25 03:33:50,move shelf to dock,process activity,robot,3r,shelf,3s,1427
16RP,2017-12-25 03:35:50,2017-12-25 03:40:50,putdown current shelf,process activity,robot,9r,shelf,-1s,1459
