Chip,Timestamp,Item Id,Entry Id
shelfMoved,2017-12-25 01:28:04,2r,1322
shelfDelivered,2017-12-25 01:36:04,2r,1331
shelfMoved,2017-12-25 01:38:04,4r,1332
disposeShelf,2017-12-25 01:42:04,2r,1335
shelfMoved,2017-12-25 01:43:04,6r,1336
shelfDelivered,2017-12-25 01:45:04,4r,1340
disposeShelf,2017-12-25 01:50:04,4r,1348
shelfMoved,2017-12-25 02:03:04,1r,1359
shelfDelivered,2017-12-25 02:05:04,6r,1360
shelfMoved,2017-12-25 02:08:04,3r,1363
shelfDelivered,2017-12-25 02:10:04,1r,1368
disposeShelf,2017-12-25 02:12:04,6r,1373
disposeShelf,2017-12-25 02:16:04,1r,1379
shelfMoved,2017-12-25 02:28:04,5r,1391
shelfMoved,2017-12-25 02:33:04,2r,1393
shelfMoved,2017-12-25 02:34:04,0r,1395
shelfDelivered,2017-12-25 02:36:04,5r,1397
shelfDelivered,2017-12-25 02:40:04,3r,1406
disposeShelf,2017-12-25 02:43:04,5r,1413
disposeShelf,2017-12-25 02:45:04,3r,1415
shelfMoved,2017-12-25 02:56:04,9r,1424
shelfDelivered,2017-12-25 03:01:04,0r,1430
shelfDelivered,2017-12-25 03:05:04,2r,1433
disposeShelf,2017-12-25 03:07:04,0r,1434
shelfDelivered,2017-12-25 03:08:04,9r,1437
disposeShelf,2017-12-25 03:10:04,2r,1441
disposeShelf,2017-12-25 03:13:04,9r,1446
shelfMoved,2017-12-25 03:14:04,8r,1447
shelfDelivered,2017-12-25 03:31:04,8r,1458
disposeShelf,2017-12-25 03:35:04,8r,1462
shelfDelivered,2017-12-25 03:58:04,6r,1472
disposeShelf,2017-12-25 04:00:04,6r,1475
shelfMoved,2017-12-25 04:04:04,1r,1482
shelfDelivered,2017-12-25 04:20:04,1r,1492
shelfMoved,2017-12-25 04:21:04,7r,1493
disposeShelf,2017-12-25 04:24:04,1r,1497
shelfDelivered,2017-12-25 04:26:04,7r,1499
disposeShelf,2017-12-25 04:31:04,7r,1502
shelfMoved,2017-12-25 04:44:04,4r,1514
shelfMoved,2017-12-25 04:53:04,9r,1517
shelfMoved,2017-12-25 04:56:04,0r,1521
shelfDelivered,2017-12-25 05:10:04,4r,1530
disposeShelf,2017-12-25 05:14:04,4r,1534
shelfDelivered,2017-12-25 05:14:04,0r,1535
shelfDelivered,2017-12-25 05:17:04,9r,1539
disposeShelf,2017-12-25 05:19:04,0r,1542
disposeShelf,2017-12-25 05:23:04,9r,1546
shelfMoved,2017-12-25 06:01:04,7r,1567
shelfDelivered,2017-12-25 06:02:04,1r,1568
disposeShelf,2017-12-25 06:08:04,1r,1573
shelfDelivered,2017-12-25 06:08:04,7r,1574
disposeShelf,2017-12-25 06:13:04,7r,1577
