New Case Id,Case Id,New Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id,shake,
730944,89CP,9,2017-12-25 01:24:04,2017-12-25 01:30:04,Request product,process activity,clerk,1c,product,89p,1321,
730944,89CP,10,2017-12-25 01:31:04,2017-12-25 01:31:04,Assgin robot,process activity,robot,0r,shelf,2s,1326,
730944,78,79,2017-12-25 01:43:04,2017-12-25 01:43:04,shelfMoved, , ,6r, , ,1336,
730944,86,87,2017-12-25 02:05:04,2017-12-25 02:05:04,shelfDelivered, , ,6r, , ,1360,
730944,92,93,2017-12-25 02:12:04,2017-12-25 02:12:04,disposeShelf, , ,6r, , ,1373,
730944,277,278,2017-12-25 03:04:04,2017-12-25 03:04:04,collector, , , , ,89p,1432,
730944,93RP,221,2017-12-25 03:29:04,2017-12-25 03:56:04,move shelf to dock,process activity,robot,6r,shelf,2s,1455,shake,
730944,93RP,220,2017-12-25 03:43:04,2017-12-25 03:56:04,reduce speed,process activity,robot,6r,shelf,2s,1465,
730944,89CP,43,2017-12-25 03:46:04,2017-12-25 03:46:04,check if the product was shaked,process activity,clerk,1c,product,89p,1467,
730944,295,296,2017-12-25 03:49:04,2017-12-25 03:49:04,extraCheck, , , , ,89p,1468,
730944,130,131,2017-12-25 03:58:04,2017-12-25 03:58:04,shelfDelivered, , ,6r, , ,1472,
730944,93RP,223,2017-12-25 04:00:04,2017-12-25 04:05:04,move shelf from dock,process activity,robot,6r,shelf,2s,1476,
730944,132,133,2017-12-25 04:00:04,2017-12-25 04:00:04,disposeShelf, , ,6r, , ,1475,
730944,299,300,2017-12-25 04:01:04,2017-12-25 04:01:04,packageDone, , , , ,89p,1470,
730944,89CP,44,2017-12-25 04:02:04,2017-12-25 04:02:04,Product Delivered,process activity,clerk,1c,product,89p,1477,
143926,54CP,46,2017-12-25 04:02:04,2017-12-25 04:04:04,Request product,process activity,clerk,1c,product,54p,1478,
143926,54CP,47,2017-12-25 04:04:04,2017-12-25 04:04:04,Assgin robot,process activity,robot,0r,shelf,1s,1483,
143926,134,135,2017-12-25 04:04:04,2017-12-25 04:04:04,shelfMoved, , ,1r, , ,1482,
143926,136,137,2017-12-25 04:20:04,2017-12-25 04:20:04,shelfDelivered, , ,1r, , ,1492,
143926,140,141,2017-12-25 04:24:04,2017-12-25 04:24:04,disposeShelf, , ,1r, , ,1497,
143926,319,320,2017-12-25 05:17:04,2017-12-25 05:17:04,collector, , , , ,54p,1537,
143926,68RP,249,2017-12-25 05:42:04,2017-12-25 06:01:04,move shelf to dock,process activity,robot,1r,shelf,1s,1557,shake,
143926,54CP,63,2017-12-25 05:52:04,2017-12-25 05:52:04,check if the product was shaked,process activity,clerk,1c,product,54p,1561,
143926,68RP,248,2017-12-25 05:54:04,2017-12-25 06:01:04,reduce speed,process activity,robot,1r,shelf,1s,1565,
143926,166,167,2017-12-25 06:02:04,2017-12-25 06:02:04,shelfDelivered, , ,1r, , ,1568,
143926,333,334,2017-12-25 06:02:04,2017-12-25 06:02:04,extraCheck, , , , ,54p,1563,
143926,168,169,2017-12-25 06:08:04,2017-12-25 06:08:04,disposeShelf, , ,1r, , ,1573,
143926,68RP,251,2017-12-25 06:09:04,2017-12-25 06:20:04,move shelf from dock,process activity,robot,1r,shelf,1s,1575,
143926,54CP,66,2017-12-25 06:13:04,2017-12-25 06:13:04,Product Delivered,process activity,clerk,1c,product,54p,1578,
143926,339,340,2017-12-25 06:13:04,2017-12-25 06:13:04,packageDone, , , , ,54p,1569,
288517,68CP,58,2017-12-25 05:24:04,2017-12-25 05:36:04,Request product,process activity,clerk,1c,product,68p,1549,
288517,68CP,59,2017-12-25 05:36:04,2017-12-25 05:36:04,Assgin robot,process activity,robot,1r,shelf,1s,1551,
288517,68RP,249,2017-12-25 05:42:04,2017-12-25 06:01:04,move shelf to dock,process activity,robot,1r,shelf,1s,1557,shake,
288517,68RP,248,2017-12-25 05:54:04,2017-12-25 06:01:04,reduce speed,process activity,robot,1r,shelf,1s,1565,
288517,166,167,2017-12-25 06:02:04,2017-12-25 06:02:04,shelfDelivered, , ,1r, , ,1568,
288517,335,336,2017-12-25 06:06:04,2017-12-25 06:06:04,collector, , , , ,68p,1572,
288517,168,169,2017-12-25 06:08:04,2017-12-25 06:08:04,disposeShelf, , ,1r, , ,1573,
288517,68RP,251,2017-12-25 06:09:04,2017-12-25 06:20:04,move shelf from dock,process activity,robot,1r,shelf,1s,1575,
288517,68CP,69,2017-12-25 06:22:04,2017-12-25 06:22:04,check if the product was shaked,process activity,clerk,1c,product,68p,1585,
