Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,(case) ApplicationType,(case) LoanGoal,(case) RequestedAmount,Accepted,Action,CreditScore,EventID,EventOrigin,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferID,OfferedAmount,Selected,lifecycle:transition
Application_652823628,A_Create Application,User_1,2016/01/01 10:51:15.304,2016/01/01 10:51:15.304,New credit,Existing loan takeover,20000,,Created,,Application_652823628,Application,,,,,,,complete
Application_652823628,A_Submitted,User_1,2016/01/01 10:51:15.352,2016/01/01 10:51:15.352,New credit,Existing loan takeover,20000,,statechange,,ApplState_1582051990,Application,,,,,,,complete
Application_652823628,A_Concept,User_1,2016/01/01 10:52:36.413,2016/01/01 10:52:36.413,New credit,Existing loan takeover,20000,,statechange,,ApplState_642383566,Application,,,,,,,complete
Application_1691306052,A_Create Application,User_1,2016/01/01 11:16:11.500,2016/01/01 11:16:11.500,New credit,Home improvement,10000,,Created,,Application_1691306052,Application,,,,,,,complete
Application_1691306052,A_Submitted,User_1,2016/01/01 11:16:11.549,2016/01/01 11:16:11.549,New credit,Home improvement,10000,,statechange,,ApplState_284636842,Application,,,,,,,complete
Application_1691306052,A_Concept,User_1,2016/01/01 11:17:31.594,2016/01/01 11:17:31.594,New credit,Home improvement,10000,,statechange,,ApplState_421204851,Application,,,,,,,complete
Application_428409768,A_Create Application,User_1,2016/01/01 12:19:38.177,2016/01/01 12:19:38.177,New credit,Home improvement,15000,,Created,,Application_428409768,Application,,,,,,,complete
Application_428409768,A_Submitted,User_1,2016/01/01 12:19:38.235,2016/01/01 12:19:38.235,New credit,Home improvement,15000,,statechange,,ApplState_105207793,Application,,,,,,,complete
Application_428409768,A_Concept,User_1,2016/01/01 12:20:37.422,2016/01/01 12:20:37.422,New credit,Home improvement,15000,,statechange,,ApplState_1727723699,Application,,,,,,,complete
Application_1746793196,A_Create Application,User_1,2016/01/01 13:34:53.911,2016/01/01 13:34:53.911,New credit,Car,5000,,Created,,Application_1746793196,Application,,,,,,,complete
Application_1746793196,A_Submitted,User_1,2016/01/01 13:34:53.950,2016/01/01 13:34:53.950,New credit,Car,5000,,statechange,,ApplState_282472804,Application,,,,,,,complete
Application_828200680,A_Create Application,User_1,2016/01/01 14:00:04.360,2016/01/01 14:00:04.360,New credit,Home improvement,35000,,Created,,Application_828200680,Application,,,,,,,complete
Application_828200680,A_Submitted,User_1,2016/01/01 14:00:04.398,2016/01/01 14:00:04.398,New credit,Home improvement,35000,,statechange,,ApplState_420123528,Application,,,,,,,complete
Application_828200680,A_Concept,User_1,2016/01/01 14:01:44.671,2016/01/01 14:01:44.671,New credit,Home improvement,35000,,statechange,,ApplState_281446729,Application,,,,,,,complete
Application_1085880569,A_Create Application,User_1,2016/01/01 14:05:19.866,2016/01/01 14:05:19.866,New credit,Existing loan takeover,13000,,Created,,Application_1085880569,Application,,,,,,,complete
Application_1085880569,A_Submitted,User_1,2016/01/01 14:05:19.901,2016/01/01 14:05:19.901,New credit,Existing loan takeover,13000,,statechange,,ApplState_736842791,Application,,,,,,,complete
Application_1085880569,A_Concept,User_1,2016/01/01 14:06:26.321,2016/01/01 14:06:26.321,New credit,Existing loan takeover,13000,,statechange,,ApplState_1145436902,Application,,,,,,,complete
Application_1266995739,A_Create Application,User_1,2016/01/01 14:22:19.758,2016/01/01 14:22:19.758,New credit,Existing loan takeover,7000,,Created,,Application_1266995739,Application,,,,,,,complete
Application_1266995739,A_Submitted,User_1,2016/01/01 14:22:19.796,2016/01/01 14:22:19.796,New credit,Existing loan takeover,7000,,statechange,,ApplState_1503316651,Application,,,,,,,complete
Application_1266995739,A_Concept,User_1,2016/01/01 14:23:29.511,2016/01/01 14:23:29.511,New credit,Existing loan takeover,7000,,statechange,,ApplState_287418819,Application,,,,,,,complete
Application_1878239836,A_Create Application,User_1,2016/01/01 14:35:26.422,2016/01/01 14:35:26.422,New credit,Home improvement,15000,,Created,,Application_1878239836,Application,,,,,,,complete
Application_1878239836,A_Submitted,User_1,2016/01/01 14:35:26.463,2016/01/01 14:35:26.463,New credit,Home improvement,15000,,statechange,,ApplState_649299817,Application,,,,,,,complete
Application_1878239836,A_Concept,User_1,2016/01/01 14:36:31.003,2016/01/01 14:36:31.003,New credit,Home improvement,15000,,statechange,,ApplState_70781426,Application,,,,,,,complete
Application_619403287,A_Create Application,User_1,2016/01/01 15:13:16.064,2016/01/01 15:13:16.064,New credit,Car,15000,,Created,,Application_619403287,Application,,,,,,,complete
Application_619403287,A_Submitted,User_1,2016/01/01 15:13:16.117,2016/01/01 15:13:16.117,New credit,Car,15000,,statechange,,ApplState_1207742536,Application,,,,,,,complete
Application_619403287,A_Concept,User_1,2016/01/01 15:14:33.857,2016/01/01 15:14:33.857,New credit,Car,15000,,statechange,,ApplState_1877855588,Application,,,,,,,complete
Application_1710223761,A_Create Application,User_1,2016/01/01 15:23:21.334,2016/01/01 15:23:21.334,New credit,Car,11000,,Created,,Application_1710223761,Application,,,,,,,complete
Application_1710223761,A_Submitted,User_1,2016/01/01 15:23:21.381,2016/01/01 15:23:21.381,New credit,Car,11000,,statechange,,ApplState_575564150,Application,,,,,,,complete
Application_1710223761,A_Concept,User_1,2016/01/01 15:24:54.538,2016/01/01 15:24:54.538,New credit,Car,11000,,statechange,,ApplState_1784923327,Application,,,,,,,complete
Application_1529124572,A_Create Application,User_1,2016/01/01 15:42:36.728,2016/01/01 15:42:36.728,New credit,"Other, see explanation",5000,,Created,,Application_1529124572,Application,,,,,,,complete
Application_1529124572,A_Submitted,User_1,2016/01/01 15:42:36.767,2016/01/01 15:42:36.767,New credit,"Other, see explanation",5000,,statechange,,ApplState_1427234050,Application,,,,,,,complete
Application_1529124572,A_Concept,User_1,2016/01/01 15:43:30.767,2016/01/01 15:43:30.767,New credit,"Other, see explanation",5000,,statechange,,ApplState_1003788210,Application,,,,,,,complete
