Case ID,Activity,Resource,Complete Timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
173688,A_SUBMITTED\\COMPLETE,112,2011/10/01 00:38:44.546,20000,A_SUBMITTED,COMPLETE
173688,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 00:38:44.880,20000,A_PARTLYSUBMITTED,COMPLETE
173688,A_PREACCEPTED\\COMPLETE,112,2011/10/01 00:39:37.906,20000,A_PREACCEPTED,COMPLETE
173688,W_Completeren aanvraag\\SCHEDULE,112,2011/10/01 00:39:38.875,20000,W_Completeren aanvraag,SCHEDULE
173691,A_SUBMITTED\\COMPLETE,112,2011/10/01 08:08:58.256,5000,A_SUBMITTED,COMPLETE
173691,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 08:09:02.195,5000,A_PARTLYSUBMITTED,COMPLETE
173691,A_PREACCEPTED\\COMPLETE,112,2011/10/01 08:09:56.648,5000,A_PREACCEPTED,COMPLETE
173691,W_Completeren aanvraag\\SCHEDULE,112,2011/10/01 08:09:59.578,5000,W_Completeren aanvraag,SCHEDULE
173694,A_SUBMITTED\\COMPLETE,112,2011/10/01 08:10:30.287,7000,A_SUBMITTED,COMPLETE
173694,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 08:10:30.591,7000,A_PARTLYSUBMITTED,COMPLETE
173697,A_SUBMITTED\\COMPLETE,112,2011/10/01 08:11:08.866,15000,A_SUBMITTED,COMPLETE
173697,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 08:11:09.035,15000,A_PARTLYSUBMITTED,COMPLETE
173694,A_PREACCEPTED\\COMPLETE,112,2011/10/01 08:11:13.026,7000,A_PREACCEPTED,COMPLETE
173694,W_Completeren aanvraag\\SCHEDULE,112,2011/10/01 08:11:13.390,7000,W_Completeren aanvraag,SCHEDULE
173697,A_DECLINED\\COMPLETE,112,2011/10/01 08:11:46.420,15000,A_DECLINED,COMPLETE
173700,A_SUBMITTED\\COMPLETE,112,2011/10/01 08:15:39.894,5000,A_SUBMITTED,COMPLETE
173700,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 08:15:40.102,5000,A_PARTLYSUBMITTED,COMPLETE
173700,A_DECLINED\\COMPLETE,112,2011/10/01 08:16:21.037,5000,A_DECLINED,COMPLETE
173703,A_SUBMITTED\\COMPLETE,112,2011/10/01 09:45:25.806,13500,A_SUBMITTED,COMPLETE
173703,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 09:45:25.981,13500,A_PARTLYSUBMITTED,COMPLETE
173706,A_SUBMITTED\\COMPLETE,112,2011/10/01 09:45:37.274,18000,A_SUBMITTED,COMPLETE
173706,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 09:45:37.363,18000,A_PARTLYSUBMITTED,COMPLETE
173703,A_PREACCEPTED\\COMPLETE,112,2011/10/01 09:46:18.211,13500,A_PREACCEPTED,COMPLETE
173706,W_Afhandelen leads\\SCHEDULE,112,2011/10/01 09:46:18.623,18000,W_Afhandelen leads,SCHEDULE
173703,W_Completeren aanvraag\\SCHEDULE,112,2011/10/01 09:46:18.674,13500,W_Completeren aanvraag,SCHEDULE
173709,A_SUBMITTED\\COMPLETE,112,2011/10/01 09:57:42.994,11000,A_SUBMITTED,COMPLETE
173709,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 09:57:43.182,11000,A_PARTLYSUBMITTED,COMPLETE
173709,A_PREACCEPTED\\COMPLETE,112,2011/10/01 09:58:27.038,11000,A_PREACCEPTED,COMPLETE
173709,W_Completeren aanvraag\\SCHEDULE,112,2011/10/01 09:58:27.403,11000,W_Completeren aanvraag,SCHEDULE
173712,A_SUBMITTED\\COMPLETE,112,2011/10/01 09:58:30.533,30000,A_SUBMITTED,COMPLETE
173712,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 09:58:30.678,30000,A_PARTLYSUBMITTED,COMPLETE
173712,W_Afhandelen leads\\SCHEDULE,112,2011/10/01 09:58:44.046,30000,W_Afhandelen leads,SCHEDULE
173715,A_SUBMITTED\\COMPLETE,112,2011/10/01 09:59:10.501,45000,A_SUBMITTED,COMPLETE
173715,A_PARTLYSUBMITTED\\COMPLETE,112,2011/10/01 09:59:10.789,45000,A_PARTLYSUBMITTED,COMPLETE
173715,A_PREACCEPTED\\COMPLETE,112,2011/10/01 09:59:42.704,45000,A_PREACCEPTED,COMPLETE
