Case ID,Activity,Resource,Complete Timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-364285768,Accepted\\In Progress,Frederic,2010/03/31 16:59:42.000,Accepted,Medium,In Progress,V30,A2_4,fr,Org line A2,PROD582,France
1-364285768,Accepted\\In Progress,Frederic,2010/03/31 17:00:56.000,Accepted,Medium,In Progress,V30,A2_4,fr,Org line A2,PROD582,France
1-364285768,Queued\\Awaiting Assignment,Frederic,2010/03/31 17:45:48.000,Queued,Medium,Awaiting Assignment,V5 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Accepted\\In Progress,Anne Claire,2010/04/06 16:44:07.000,Accepted,Medium,In Progress,V5 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Queued\\Awaiting Assignment,Anne Claire,2010/04/06 16:44:38.000,Queued,Medium,Awaiting Assignment,V30,A2_4,fr,Org line A2,PROD582,France
1-364285768,Accepted\\In Progress,Anne Claire,2010/04/06 16:44:47.000,Accepted,Medium,In Progress,V13 2nd 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Completed\\Resolved,Anne Claire,2010/04/06 16:44:51.000,Completed,Medium,Resolved,V13 2nd 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Queued\\Awaiting Assignment,Anne Claire,2010/04/06 16:45:07.000,Queued,Medium,Awaiting Assignment,V30,A2_4,fr,Org line A2,PROD582,France
1-364285768,Accepted\\In Progress,Eric,2010/04/08 12:52:23.000,Accepted,Medium,In Progress,V30,A2_4,fr,Org line A2,PROD582,France
1-364285768,Queued\\Awaiting Assignment,Eric,2010/04/08 12:53:35.000,Queued,Medium,Awaiting Assignment,V5 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Accepted\\In Progress,Anne Claire,2010/04/20 11:07:11.000,Accepted,Medium,In Progress,V5 3rd,A2_5,fr,Org line A2,PROD582,France
1-364285768,Accepted\\Assigned,Anne Claire,2010/04/20 11:07:19.000,Accepted,Medium,Assigned,V5 3rd,A2_5,fr,Org line A2,PROD582,France
1-467153946,Accepted\\In Progress,Adam,2011/01/31 11:12:22.000,Accepted,Medium,In Progress,S42,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Adam,2011/01/31 11:18:44.000,Accepted,Medium,In Progress,S42,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Queued\\Awaiting Assignment,Adam,2011/01/31 11:19:05.000,Queued,Medium,Awaiting Assignment,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Denny,2011/01/31 12:59:46.000,Accepted,Medium,In Progress,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait - User,Denny,2011/01/31 14:37:55.000,Accepted,Medium,Wait - User,N52 2nd,V3_2,se,Org line C,PROD453,Sweden
1-467153946,Queued\\Awaiting Assignment,Denny,2011/02/03 08:28:58.000,Queued,Medium,Awaiting Assignment,O3 3rd,C_6,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\In Progress,Paul,2011/02/07 12:37:33.000,Accepted,Medium,In Progress,O3 3rd,C_6,se,Org line C,PROD453,Sweden
1-467153946,Accepted\\Wait - Implementation,Paul,2011/02/07 12:38:25.000,Accepted,Medium,Wait - Implementation,O3 3rd,C_6,se,Org line C,PROD453,Sweden
1-503573772,Accepted\\In Progress,Bert,2011/02/24 16:17:46.000,Accepted,Medium,In Progress,D5,A2_1,nl,Org line C,PROD706,Belgium
1-503573772,Accepted\\In Progress,Bert,2011/02/24 16:17:52.000,Accepted,Medium,In Progress,D5,A2_1,nl,Org line C,PROD706,Belgium
1-503573772,Queued\\Awaiting Assignment,Bert,2011/02/24 16:19:35.000,Queued,Medium,Awaiting Assignment,V37 2nd,,nl,Org line V7n,PROD706,Belgium
1-503573772,Accepted\\In Progress,Luc,2011/02/28 13:46:38.000,Accepted,Medium,In Progress,V37 2nd,,nl,Org line V7n,PROD706,Netherlands
1-503573772,Queued\\Awaiting Assignment,Luc,2011/02/28 13:47:22.000,Queued,Medium,Awaiting Assignment,D5,A2_1,nl,Org line C,PROD706,Netherlands
1-503573772,Accepted\\In Progress,Henk,2011/02/28 13:48:12.000,Accepted,Medium,In Progress,D5,A2_1,nl,Org line C,PROD706,Belgium
1-503573772,Queued\\Awaiting Assignment,Henk,2011/02/28 13:53:24.000,Queued,Medium,Awaiting Assignment,V32 2nd,,nl,Org line V7n,PROD706,Belgium
