Incident ID,DateStamp,IncidentActivity_Number,IncidentActivity_Type,Assignment Group,KM number,Interaction ID
IM0000004,07-01-2013 08:17:17,001A3689763,Reassignment,TEAM0001,KM0000553,SD0000007
IM0000005,07-01-2013 08:17:54,001A3689771,Reassignment,TEAM0001,KM0000611,SD0000011
IM0000011,07-01-2013 08:19:20,001A3689785,Reassignment,TEAM0001,KM0000611,SD0000025
IM0000024,07-01-2013 08:25:05,001A3689845,Reassignment,TEAM0001,KM0000401,SD0000046
IM0000022,07-01-2013 15:49:40,001A3699316,Operator Update,TEAM0003,KM0000611,SD0000043
IM0000022,09-01-2013 08:34:35,001A3714734,Operator Update,TEAM0003,KM0000611,SD0000043
IM0000038,15-01-2013 14:36:33,001A3764820,Open,TEAM9999,KM0000579,SD0000063
IM0000038,15-01-2013 15:06:12,001A3767761,Operator Update,TEAM0003,KM0000579,SD0000063
IM0000038,15-01-2013 15:06:12,001A3767760,Assignment,TEAM0003,KM0000579,SD0000063
IM0000038,15-01-2013 16:03:24,001A3767176,Operator Update,TEAM0003,KM0000579,SD0000063
IM0000038,15-01-2013 16:17:52,001A3767213,Communication with customer,TEAM0003,KM0000579,SD0000063
IM0000038,15-01-2013 16:45:47,001A3767271,Status Change,TEAM0003,KM0000579,SD0000063
IM0000038,16-01-2013 09:42:24,001A3770227,Operator Update,TEAM0003,KM0000579,SD0000063
IM0000041,22-01-2013 15:38:22,001A3815742,Open,TEAM0002,KM0000611,SD0000065
IM0000041,23-01-2013 07:08:48,001A3816834,Assignment,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 08:51:58,001A3817128,Assignment,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 10:39:35,001A3823198,Status Change,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 10:39:35,001A3823197,Assignment,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 10:39:35,001A3823196,Reassignment,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 10:39:35,001A3823199,Update,TEAM0003,KM0000611,SD0000065
IM0000041,23-01-2013 11:49:14,001A3823944,Update from customer,TEAM0002,KM0000611,SD0000065
IM0000042,23-01-2013 13:39:34,001A3826130,Open,TEAM0002,KM0000611,SD0000068
IM0000042,23-01-2013 16:15:44,001A3825787,Status Change,TEAM0003,KM0000611,SD0000068
IM0000042,23-01-2013 16:16:17,001A3825790,Assignment,TEAM0003,KM0000611,SD0000068
IM0000042,24-01-2013 10:24:10,001A3831216,Analysis/Research,TEAM0003,KM0000611,SD0000068
IM0000042,24-01-2013 10:24:10,001A3831215,Assignment,TEAM0003,KM0000611,SD0000068
IM0000024,24-01-2013 15:57:07,001A3833031,Operator Update,TEAM0003,KM0000401,SD0000046
IM0000042,28-01-2013 15:53:33,001A3856152,Communication with customer,TEAM0003,KM0000611,SD0000068
IM0000038,29-01-2013 08:36:42,001A3859974,Reassignment,TEAM0003,KM0000579,SD0000063
IM0000045,30-01-2013 15:37:14,001A3876846,Open,TEAM9999,KM0000928,SD0000072
IM0000045,30-01-2013 16:11:34,001A3875519,Assignment,TEAM0003,KM0000928,SD0000072
IM0000045,30-01-2013 16:11:47,001A3875520,Status Change,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 06:48:21,001A3875658,Assignment,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 06:48:21,001A3875657,Reassignment,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 06:48:21,001A3875659,Operator Update,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 06:48:51,001A3875660,Status Change,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 12:14:08,001A3882461,Assignment,TEAM0005,KM0000928,SD0000072
IM0000045,31-01-2013 12:14:08,001A3882460,Reassignment,TEAM0005,KM0000928,SD0000072
IM0000045,31-01-2013 12:14:08,001A3882462,Update,TEAM0005,KM0000928,SD0000072
IM0000045,31-01-2013 13:00:15,001A3881954,Assignment,TEAM0003,KM0000928,SD0000072
IM0000045,31-01-2013 13:49:56,001A3884649,Operator Update,TEAM0003,KM0000928,SD0000072
IM0000046,31-01-2013 16:27:22,001A3886316,Open,TEAM0008,KM0000931,SD0000073
IM0000046,01-02-2013 08:06:56,001A3886741,Assignment,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 08:06:56,001A3886742,Status Change,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 09:46:33,001A3890503,Status Change,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 12:43:21,001A3891951,Operator Update,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 12:48:42,001A3894096,Assignment,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 12:48:42,001A3894097,Status Change,TEAM0003,KM0000931,SD0000073
IM0000046,01-02-2013 12:48:42,001A3894095,Reassignment,TEAM0003,KM0000931,SD0000073
IM0000045,04-02-2013 07:52:20,001A3899467,Update from customer,TEAM0003,KM0000928,SD0000072
IM0000045,04-02-2013 07:55:19,001A3899492,Assignment,TEAM0003,KM0000928,SD0000072
IM0000045,04-02-2013 07:55:19,001A3899491,Reassignment,TEAM0003,KM0000928,SD0000072
IM0000045,04-02-2013 08:31:59,001A3904488,Assignment,TEAM0012,KM0000928,SD0000072
IM0000038,04-02-2013 09:15:06,001A3902263,Update,TEAM0003,KM0000579,SD0000063
IM0000047,04-02-2013 13:38:29,001A3907812,Open,TEAM9999,KM0000401,SD0000074
IM0000047,04-02-2013 13:42:43,001A3906501,Status Change,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 13:42:43,001A3906500,Assignment,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 13:42:43,001A3906502,Operator Update,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 13:47:21,001A3908626,Operator Update,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 14:21:48,001A3908705,Assignment,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 14:21:48,001A3908706,Operator Update,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 14:21:48,001A3908704,Reassignment,TEAM0003,KM0000401,SD0000074
IM0000047,04-02-2013 15:06:56,001A3908866,Update from customer,TEAM0002,KM0000401,SD0000074
IM0000046,05-02-2013 08:22:56,001A3912543,Operator Update,TEAM9999,KM0000931,SD0000073
IM0000046,05-02-2013 10:32:36,001A3912977,Operator Update,TEAM9999,KM0000931,SD0000073
IM0000048,06-02-2013 13:07:45,001A3926336,Open,TEAM9999,KM0000524,#N/B
