Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
1,Register,System,2014/04/02 10:00:48.000,2014/04/02 10:00:48.000
1,Acceptance of requests,group1,2014/04/02 10:00:48.000,2014/04/02 10:18:43.000
2,Register,System,2014/04/02 10:01:32.000,2014/04/02 10:01:32.000
2,Acceptance of requests,group1,2014/04/02 10:01:32.000,2014/04/02 10:16:07.000
3,Register,System,2014/04/02 10:07:17.000,2014/04/02 10:07:17.000
3,Acceptance of requests,group1,2014/04/02 10:07:17.000,2014/04/02 10:26:55.000
4,Register,System,2014/04/02 10:08:30.000,2014/04/02 10:08:30.000
4,Acceptance of requests,group1,2014/04/02 10:08:30.000,2014/04/02 10:27:01.000
5,Register,System,2014/04/02 10:14:25.000,2014/04/02 10:14:25.000
5,Acceptance of requests,group1,2014/04/02 10:14:25.000,2014/04/02 10:26:02.000
2,Collection of documents,group1,2014/04/02 10:16:07.000,2014/04/02 11:07:03.000
6,Register,System,2014/04/02 10:16:39.000,2014/04/02 10:16:39.000
6,Acceptance of requests,group1,2014/04/02 10:16:39.000,2014/04/02 10:29:26.000
1,Collection of documents,group1,2014/04/02 10:18:43.000,2014/04/02 11:47:48.000
7,Register,System,2014/04/02 10:19:48.000,2014/04/02 10:19:48.000
7,Acceptance of requests,group1,2014/04/02 10:19:48.000,2014/04/02 10:29:19.000
5,Collection of documents,group1,2014/04/02 10:26:02.000,2014/04/02 12:25:03.000
3,Collection of documents,group1,2014/04/02 10:26:55.000,2014/04/02 11:36:44.000
4,Collection of documents,group1,2014/04/02 10:27:01.000,2014/04/02 11:16:52.000
8,Register,System,2014/04/02 10:28:25.000,2014/04/02 10:28:25.000
8,Acceptance of requests,group1,2014/04/02 10:28:25.000,2014/04/02 10:43:39.000
7,Collection of documents,group1,2014/04/02 10:29:19.000,2014/04/02 11:47:28.000
6,Collection of documents,group1,2014/04/02 10:29:26.000,2014/04/02 11:51:31.000
9,Register,System,2014/04/02 10:34:59.000,2014/04/02 10:34:59.000
9,Acceptance of requests,group1,2014/04/02 10:34:59.000,2014/04/02 10:50:24.000
10,Register,System,2014/04/02 10:40:29.000,2014/04/02 10:40:29.000
10,Acceptance of requests,group1,2014/04/02 10:40:29.000,2014/04/02 10:49:51.000
8,Collection of documents,group1,2014/04/02 10:43:39.000,2014/04/02 11:49:04.000
10,Collection of documents,group1,2014/04/02 10:49:51.000,2014/04/02 11:27:57.000
9,Collection of documents,group1,2014/04/02 10:50:24.000,2014/04/02 12:35:24.000
11,Register,System,2014/04/02 11:01:54.000,2014/04/02 11:01:54.000
11,Acceptance of requests,group1,2014/04/02 11:01:54.000,2014/04/02 11:20:04.000
