Case ID,Activity,Resource,Complete Timestamp,concept:name,customer,lifecycle:transition,org:resource,product,responsible_section,seriousness,service_level,service_type,support_section,workgroup
Case2748,Start,Start,2010/01/13 13:26:04.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2748,Assign seriousness,Value 2,2010/01/13 13:26:04.000,Assign seriousness,Value 52,complete,Value 2,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case406,Start,Start,2010/01/13 18:25:25.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case406,Assign seriousness,Value 2,2010/01/13 18:25:25.000,Assign seriousness,Value 143,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case406,Assign seriousness,Value 2,2010/01/13 18:25:38.000,Assign seriousness,Value 143,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case4539,Start,Start,2010/01/14 10:10:48.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4539,Assign seriousness,Value 2,2010/01/14 10:10:48.000,Assign seriousness,Value 55,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case4539,Assign seriousness,Value 2,2010/01/14 10:11:02.000,Assign seriousness,Value 55,complete,Value 2,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case2118,Start,Start,2010/01/14 10:52:50.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2118,Assign seriousness,Value 2,2010/01/14 10:52:50.000,Assign seriousness,Value 235,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case3625,Start,Start,2010/01/14 11:35:38.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3625,Assign seriousness,Value 2,2010/01/14 11:35:38.000,Assign seriousness,Value 53,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case3625,Assign seriousness,Value 2,2010/01/14 11:35:57.000,Assign seriousness,Value 53,complete,Value 2,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case406,Take in charge ticket,Value 2,2010/01/14 12:42:31.000,Take in charge ticket,Value 143,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case406,Resolve ticket,Value 2,2010/01/14 12:42:37.000,Resolve ticket,Value 143,complete,Value 2,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case1621,Start,Start,2010/01/15 18:11:07.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1621,Assign seriousness,Value 2,2010/01/15 18:11:07.000,Assign seriousness,Value 126,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case390,Start,Start,2010/01/18 10:30:02.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case390,Assign seriousness,Value 2,2010/01/18 10:30:02.000,Assign seriousness,Value 103,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case390,Take in charge ticket,Value 2,2010/01/18 10:30:24.000,Take in charge ticket,Value 103,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case390,Resolve ticket,Value 2,2010/01/18 10:32:21.000,Resolve ticket,Value 103,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case1941,Start,Start,2010/01/19 10:11:08.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1941,Assign seriousness,Value 2,2010/01/19 10:11:08.000,Assign seriousness,Value 16,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case2748,Take in charge ticket,Value 2,2010/01/19 10:26:05.000,Take in charge ticket,Value 52,complete,Value 2,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case2748,Resolve ticket,Value 2,2010/01/19 10:28:50.000,Resolve ticket,Value 52,complete,Value 2,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case404,Start,Start,2010/01/19 18:01:04.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case404,Assign seriousness,Value 2,2010/01/19 18:01:04.000,Assign seriousness,Value 162,complete,Value 2,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case4539,Take in charge ticket,Value 15,2010/01/20 10:15:20.000,Take in charge ticket,Value 55,complete,Value 15,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1
Case4539,Resolve ticket,Value 15,2010/01/20 10:26:05.000,Resolve ticket,Value 55,complete,Value 15,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1
Case791,Start,Start,2010/01/21 09:49:07.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case791,Assign seriousness,Value 2,2010/01/21 09:49:07.000,Assign seriousness,Value 97,complete,Value 2,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case1485,Start,Start,2010/01/21 09:52:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1485,Assign seriousness,Value 2,2010/01/21 09:52:31.000,Assign seriousness,Value 10,complete,Value 2,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3
Case1000,Start,Start,2010/01/21 09:53:28.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1000,Assign seriousness,Value 2,2010/01/21 09:53:28.000,Assign seriousness,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Assign seriousness,Value 2,2010/01/21 09:53:34.000,Assign seriousness,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Take in charge ticket,Value 2,2010/01/21 09:53:40.000,Take in charge ticket,Value 92,complete,Value 2,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case2915,Start,Start,2010/01/21 09:57:25.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2915,Assign seriousness,Value 2,2010/01/21 09:57:25.000,Assign seriousness,Value 48,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case2915,Assign seriousness,Value 2,2010/01/21 09:57:35.000,Assign seriousness,Value 48,complete,Value 2,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case1941,Take in charge ticket,Value 2,2010/01/21 10:14:12.000,Take in charge ticket,Value 16,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case1941,Resolve ticket,Value 2,2010/01/21 11:08:05.000,Resolve ticket,Value 16,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case1768,Start,Start,2010/01/22 09:17:33.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1768,Assign seriousness,Value 2,2010/01/22 09:17:33.000,Assign seriousness,Value 35,complete,Value 2,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case1768,Take in charge ticket,Value 11,2010/01/22 09:46:15.000,Take in charge ticket,Value 35,complete,Value 11,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case1006,Start,Start,2010/01/22 12:09:40.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1006,Assign seriousness,Value 2,2010/01/22 12:09:40.000,Assign seriousness,Value 254,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case1006,Take in charge ticket,Value 2,2010/01/22 12:09:51.000,Take in charge ticket,Value 254,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case1006,Resolve ticket,Value 2,2010/01/22 12:09:59.000,Resolve ticket,Value 254,complete,Value 2,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case2742,Start,Start,2010/01/22 15:49:01.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
