Chip,Timestamp,Item Id,Entry Id
shelfMoved,2017-12-25 02:56:27,194r,1342
shelfMoved,2017-12-25 02:58:27,237r,1344
shelfMoved,2017-12-25 03:01:27,186r,1350
shelfMoved,2017-12-25 03:03:27,98r,1351
shelfMoved,2017-12-25 03:05:27,74r,1356
shelfMoved,2017-12-25 03:12:27,238r,1369
shelfDelivered,2017-12-25 03:12:27,237r,1371
shelfMoved,2017-12-25 03:14:27,50r,1372
shelfDelivered,2017-12-25 03:17:27,194r,1377
shelfMoved,2017-12-25 03:19:27,88r,1379
shelfDelivered,2017-12-25 03:26:27,50r,1393
shelfDelivered,2017-12-25 03:29:27,186r,1398
shelfDelivered,2017-12-25 03:29:27,88r,1399
disposeShelf,2017-12-25 03:34:27,237r,1407
shelfMoved,2017-12-25 03:38:27,146r,1413
shelfDelivered,2017-12-25 03:39:27,74r,1415
shelfMoved,2017-12-25 03:43:27,139r,1421
shelfDelivered,2017-12-25 03:46:27,98r,1425
disposeShelf,2017-12-25 03:48:27,186r,1428
disposeShelf,2017-12-25 03:49:27,194r,1429
shelfMoved,2017-12-25 03:50:27,170r,1431
shelfMoved,2017-12-25 03:52:27,46r,1432
shelfMoved,2017-12-25 03:54:27,200r,1435
shelfDelivered,2017-12-25 03:57:27,46r,1440
shelfMoved,2017-12-25 03:58:27,129r,1442
shelfDelivered,2017-12-25 04:00:27,139r,1446
shelfMoved,2017-12-25 04:02:27,140r,1448
disposeShelf,2017-12-25 04:06:27,88r,1453
shelfDelivered,2017-12-25 04:08:27,238r,1457
shelfDelivered,2017-12-25 04:14:27,200r,1472
shelfMoved,2017-12-25 04:16:27,9r,1473
shelfDelivered,2017-12-25 04:19:27,146r,1481
shelfDelivered,2017-12-25 04:20:27,129r,1483
disposeShelf,2017-12-25 04:22:27,74r,1485
shelfDelivered,2017-12-25 04:27:27,9r,1493
shelfDelivered,2017-12-25 04:28:27,170r,1494
disposeShelf,2017-12-25 04:35:27,46r,1504
shelfMoved,2017-12-25 04:37:27,93r,1506
shelfMoved,2017-12-25 04:47:27,227r,1522
shelfMoved,2017-12-25 04:50:27,224r,1526
shelfDelivered,2017-12-25 04:52:27,140r,1530
disposeShelf,2017-12-25 04:55:27,50r,1535
shelfDelivered,2017-12-25 05:01:27,224r,1547
shelfMoved,2017-12-25 05:03:27,162r,1550
