Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
22RP,2017-12-25 01:21:17,2017-12-25 01:25:17,putdown current shelf,process activity,robot,3r,shelf,-1s,1317
49RP,2017-12-25 01:21:17,2017-12-25 01:27:17,putdown current shelf,process activity,robot,5r,shelf,-1s,1318
38RP,2017-12-25 01:23:17,2017-12-25 01:28:17,putdown current shelf,process activity,robot,0r,shelf,-1s,1320
49RP,2017-12-25 01:28:17,2017-12-25 01:30:17,go to approriate shelf,process activity,robot,5r,shelf,0s,1322
38RP,2017-12-25 01:29:17,2017-12-25 01:32:17,go to approriate shelf,process activity,robot,0r,shelf,1s,1323
47RP,2017-12-25 01:30:17,2017-12-25 01:34:17,putdown current shelf,process activity,robot,7r,shelf,-1s,1325
22RP,2017-12-25 01:25:17,2017-12-25 01:39:17,go to approriate shelf,process activity,robot,3r,shelf,3s,1321
49RP,2017-12-25 01:34:17,2017-12-25 01:41:17,move shelf to dock,process activity,robot,5r,shelf,0s,1328
47RP,2017-12-25 01:35:17,2017-12-25 01:49:17,go to approriate shelf,process activity,robot,7r,shelf,2s,1330
22RP,2017-12-25 01:42:17,2017-12-25 01:55:17,move shelf to dock,process activity,robot,3r,shelf,3s,1334
49RP,2017-12-25 01:46:17,2017-12-25 01:58:17,move shelf from dock,process activity,robot,5r,shelf,0s,1339
38RP,2017-12-25 01:48:17,2017-12-25 01:59:17,reduce speed,process activity,robot,0r,shelf,1s,1342
38RP,2017-12-25 01:34:17,2017-12-25 01:59:17,move shelf to dock,process activity,robot,0r,shelf,1s,1329
22RP,2017-12-25 02:01:17,2017-12-25 02:11:17,move shelf from dock,process activity,robot,3r,shelf,3s,1354
38RP,2017-12-25 02:06:17,2017-12-25 02:13:17,move shelf from dock,process activity,robot,0r,shelf,1s,1362
47RP,2017-12-25 02:02:17,2017-12-25 02:13:17,reduce speed,process activity,robot,7r,shelf,2s,1356
47RP,2017-12-25 01:51:17,2017-12-25 02:14:17,move shelf to dock,process activity,robot,7r,shelf,2s,1344
31RP,2017-12-25 02:18:17,2017-12-25 02:22:17,putdown current shelf,process activity,robot,4r,shelf,-1s,1368
47RP,2017-12-25 02:20:17,2017-12-25 02:31:17,move shelf from dock,process activity,robot,7r,shelf,2s,1372
31RP,2017-12-25 02:22:17,2017-12-25 02:36:17,go to approriate shelf,process activity,robot,4r,shelf,1s,1375
14RP,2017-12-25 02:39:17,2017-12-25 02:40:17,putdown current shelf,process activity,robot,1r,shelf,-1s,1381
60RP,2017-12-25 02:40:17,2017-12-25 02:41:17,putdown current shelf,process activity,robot,3r,shelf,3s,1383
62RP,2017-12-25 02:43:17,2017-12-25 02:48:17,putdown current shelf,process activity,robot,8r,shelf,-1s,1389
14RP,2017-12-25 02:40:17,2017-12-25 02:52:17,go to approriate shelf,process activity,robot,1r,shelf,3s,1384
60RP,2017-12-25 02:42:17,2017-12-25 02:54:17,go to approriate shelf,process activity,robot,3r,shelf,4s,1386
62RP,2017-12-25 02:48:17,2017-12-25 03:02:17,go to approriate shelf,process activity,robot,8r,shelf,2s,1393
31RP,2017-12-25 02:50:17,2017-12-25 03:03:17,reduce speed,process activity,robot,4r,shelf,1s,1394
31RP,2017-12-25 02:38:17,2017-12-25 03:04:17,move shelf to dock,process activity,robot,4r,shelf,1s,1379
14RP,2017-12-25 02:53:17,2017-12-25 03:06:17,move shelf to dock,process activity,robot,1r,shelf,3s,1396
23RP,2017-12-25 03:07:17,2017-12-25 03:11:17,putdown current shelf,process activity,robot,7r,shelf,2s,1412
60RP,2017-12-25 03:07:17,2017-12-25 03:13:17,reduce speed,process activity,robot,3r,shelf,4s,1410
60RP,2017-12-25 02:55:17,2017-12-25 03:13:17,move shelf to dock,process activity,robot,3r,shelf,4s,1398
14RP,2017-12-25 03:12:17,2017-12-25 03:17:17,move shelf from dock,process activity,robot,1r,shelf,3s,1422
31RP,2017-12-25 03:10:17,2017-12-25 03:17:17,move shelf from dock,process activity,robot,4r,shelf,1s,1419
62RP,2017-12-25 03:09:17,2017-12-25 03:21:17,reduce speed,process activity,robot,8r,shelf,2s,1418
