Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
92CP,2017-12-25 01:05:32,2017-12-25 01:11:32,Request product,process activity,clerk,1c,product,92p,1311
92CP,2017-12-25 01:12:32,2017-12-25 01:12:32,Assgin robot,process activity,robot,0r,shelf,4s,1314
64CP,2017-12-25 01:14:32,2017-12-25 01:23:32,Request product,process activity,clerk,1c,product,64p,1317
64CP,2017-12-25 01:24:32,2017-12-25 01:24:32,Assgin robot,process activity,robot,3r,shelf,2s,1319
3CP,2017-12-25 01:19:32,2017-12-25 01:24:32,Request product,process activity,clerk,1c,product,3p,1318
3CP,2017-12-25 01:24:32,2017-12-25 01:24:32,Assgin robot,process activity,robot,6r,shelf,4s,1320
90CP,2017-12-25 01:10:32,2017-12-25 01:25:32,Request product,process activity,clerk,1c,product,90p,1313
90CP,2017-12-25 01:25:32,2017-12-25 01:25:32,Assgin robot,process activity,robot,8r,shelf,4s,1322
16CP,2017-12-25 01:06:32,2017-12-25 01:28:32,Request product,process activity,clerk,1c,product,16p,1312
16CP,2017-12-25 01:29:32,2017-12-25 01:29:32,Assgin robot,process activity,robot,5r,shelf,0s,1326
92CP,2017-12-25 01:46:32,2017-12-25 01:46:32,check if the product was shaked,process activity,clerk,1c,product,92p,1338
61CP,2017-12-25 01:38:32,2017-12-25 01:51:32,Request product,process activity,clerk,1c,product,61p,1330
61CP,2017-12-25 01:51:32,2017-12-25 01:51:32,Assgin robot,process activity,robot,7r,shelf,2s,1346
52CP,2017-12-25 01:30:32,2017-12-25 01:52:32,Request product,process activity,clerk,1c,product,52p,1328
52CP,2017-12-25 01:52:32,2017-12-25 01:52:32,Assgin robot,process activity,robot,4r,shelf,3s,1347
44CP,2017-12-25 01:47:32,2017-12-25 01:59:32,Request product,process activity,clerk,1c,product,44p,1340
44CP,2017-12-25 01:59:32,2017-12-25 01:59:32,Assgin robot,process activity,robot,9r,shelf,1s,1353
92CP,2017-12-25 02:01:32,2017-12-25 02:01:32,Product Delivered,process activity,clerk,1c,product,92p,1357
64CP,2017-12-25 02:04:32,2017-12-25 02:04:32,check if the product was shaked,process activity,clerk,1c,product,64p,1362
58CP,2017-12-25 02:04:32,2017-12-25 02:19:32,Request product,process activity,clerk,1c,product,58p,1363
64CP,2017-12-25 02:25:32,2017-12-25 02:25:32,Product Delivered,process activity,clerk,1c,product,64p,1384
58CP,2017-12-25 02:25:32,2017-12-25 02:25:32,Assgin robot,process activity,robot,0r,shelf,2s,1385
87CP,2017-12-25 02:03:32,2017-12-25 02:26:32,Request product,process activity,clerk,1c,product,87p,1361
87CP,2017-12-25 02:27:32,2017-12-25 02:27:32,Assgin robot,process activity,robot,1r,shelf,0s,1389
3CP,2017-12-25 02:29:32,2017-12-25 02:29:32,check if the product was shaked,process activity,clerk,1c,product,3p,1393
65CP,2017-12-25 02:25:32,2017-12-25 02:41:32,Request product,process activity,clerk,1c,product,65p,1386
65CP,2017-12-25 02:41:32,2017-12-25 02:41:32,Assgin robot,process activity,robot,2r,shelf,4s,1407
17CP,2017-12-25 02:28:32,2017-12-25 02:48:32,Request product,process activity,clerk,1c,product,17p,1391
17CP,2017-12-25 02:48:32,2017-12-25 02:48:32,Assgin robot,process activity,robot,3r,shelf,0s,1411
3CP,2017-12-25 02:53:32,2017-12-25 02:53:32,Product Delivered,process activity,clerk,1c,product,3p,1415
16CP,2017-12-25 02:54:32,2017-12-25 02:54:32,check if the product was shaked,process activity,clerk,1c,product,16p,1418
16CP,2017-12-25 03:15:32,2017-12-25 03:15:32,Product Delivered,process activity,clerk,1c,product,16p,1433
52CP,2017-12-25 03:16:32,2017-12-25 03:16:32,check if the product was shaked,process activity,clerk,1c,product,52p,1436
52CP,2017-12-25 03:29:32,2017-12-25 03:29:32,Product Delivered,process activity,clerk,1c,product,52p,1446
44CP,2017-12-25 03:30:32,2017-12-25 03:30:32,check if the product was shaked,process activity,clerk,1c,product,44p,1449
95CP,2017-12-25 03:30:32,2017-12-25 03:32:32,Request product,process activity,clerk,1c,product,95p,1448
95CP,2017-12-25 03:32:32,2017-12-25 03:32:32,Assgin robot,process activity,robot,4r,shelf,0s,1451
