Chip,Timestamp,Item Id,Entry Id
collector,2017-12-25 01:57:00,15p,1340
collector,2017-12-25 02:01:00,38p,1344
collector,2017-12-25 02:13:00,6p,1360
packageDone,2017-12-25 02:16:00,15p,1356
extraCheck,2017-12-25 02:21:00,38p,1370
collector,2017-12-25 02:21:00,82p,1374
collector,2017-12-25 02:28:00,98p,1383
packageDone,2017-12-25 02:32:00,38p,1376
extraCheck,2017-12-25 02:36:00,6p,1391
packageDone,2017-12-25 02:40:00,6p,1394
collector,2017-12-25 02:51:00,85p,1406
packageDone,2017-12-25 02:55:00,82p,1402
packageDone,2017-12-25 03:00:00,98p,1415
extraCheck,2017-12-25 03:09:00,85p,1421
packageDone,2017-12-25 03:14:00,85p,1425
collector,2017-12-25 03:18:00,56p,1432
collector,2017-12-25 03:30:00,16p,1445
extraCheck,2017-12-25 03:33:00,56p,1440
packageDone,2017-12-25 03:46:00,56p,1453
collector,2017-12-25 03:53:00,40p,1463
collector,2017-12-25 03:56:00,95p,1470
collector,2017-12-25 04:00:00,0p,1476
extraCheck,2017-12-25 04:01:00,16p,1469
packageDone,2017-12-25 04:05:00,16p,1479
extraCheck,2017-12-25 04:13:00,40p,1482
packageDone,2017-12-25 04:22:00,40p,1486
extraCheck,2017-12-25 04:31:00,95p,1490
packageDone,2017-12-25 04:42:00,95p,1495
collector,2017-12-25 04:57:00,97p,1505
packageDone,2017-12-25 04:58:00,0p,1503
collector,2017-12-25 04:58:00,42p,1508
extraCheck,2017-12-25 05:11:00,97p,1517
packageDone,2017-12-25 05:26:00,97p,1520
collector,2017-12-25 05:28:00,10p,1524
extraCheck,2017-12-25 05:35:00,42p,1528
packageDone,2017-12-25 05:45:00,42p,1531
extraCheck,2017-12-25 05:52:00,10p,1535
packageDone,2017-12-25 06:06:00,10p,1539
collector,2017-12-25 06:18:00,67p,1552
extraCheck,2017-12-25 06:24:00,67p,1556
collector,2017-12-25 06:29:00,46p,1560
packageDone,2017-12-25 06:37:00,67p,1557
extraCheck,2017-12-25 06:50:00,46p,1568
packageDone,2017-12-25 06:53:00,46p,1570
collector,2017-12-25 07:12:00,26p,1581
collector,2017-12-25 07:15:00,81p,1584
extraCheck,2017-12-25 07:26:00,26p,1590
collector,2017-12-25 07:32:00,1p,1597
packageDone,2017-12-25 07:40:00,26p,1593
packageDone,2017-12-25 07:53:00,81p,1602
